1,2020/03/16,未就,沼田,寧花,ヌマタ,シズカ,女,2017/10/26,金立幼稚園,年少,沼田,哲朗,ヌマタ,テツロウ,077-238-6109,自宅,,,6078416,京都府 京都市山科区 御陵進藤町 2-15-2 御陵進藤町コンフォート305,def7utpxvjgzi3_x@tictx.org,numatatetsuro,dsKyNLyE,2218D363-975E-769A-F2E6-D2FF1EB15DB7
1,2020/11/27,未就,滝田,柚海子,タキタ,ユウコ,女,2020/11/03,唐津保育園,年中,滝田,昌彦,タキタ,マサヒコ,077-549-4517,自宅,,,6128490,京都府 京都市伏見区 下鳥羽南柳長町 1-12-10,u06_x@rdtulsqxan.ac.jp,takitamasahiko,pdfLrHfX,46754855-23D3-F9B4-9CEB-5FC9F63CACAC
1,2016/08/02,小４G,加瀬,一智花,カセ,イチカ,女,2020/09/24,伊万里小学校,小学４年,加瀬,行雄,カセ,ユキオ,077-725-2720,自宅,,,6158254,京都府 京都市西京区 御陵細谷 3-14 御陵細谷マンション117,bvgzxm92k@mpwis.org,kaseyukio,iu5NxzEt,39EF3E04-5F8C-5883-9A92-94434186F86F
1,2021/12/21,小５V,沼田,大介,ヌマタ,ダイスケ,男,2002/04/17,鳥栖小学校,小学５年,沼田,哲朗,ヌマタ,テツロウ,0774-90-6392,自宅,,,6050067,京都府 京都市東山区 稲荷町南組 4-11-14 ロイヤルパレス稲荷町南組315,nsey_bk51@vbddee.co.jp,nishimotohumiyasu,yjLsY5r-,310A1256-DE2F-5EE6-5CAF-DFDA32134869
1,2018/04/25,低学年,猪股,沙樹,イノマタ,サキ,女,2013/05/16,嬉野小学校,小学２年,猪股,雅人,イノマタ,マサト,077-951-6819,自宅,090-9616-9607,母,6100351,京都府 京田辺市 大住ケ丘 2-18 ゴールデン大住ケ丘304,plzhj@asgjsq.com,inomatamasato,3q6WyFtS,466D83D4-3662-32A7-FB98-FB0056EAE097
1,2015/01/28,中２A,沼田,貴隆,ヌマタ,キリュウ,男,2020/05/28,唐津中学校,中学２年,沼田,哲朗,ヌマタ,テツロウ,077-057-5231,自宅,,,6028307,京都府 京都市上京区 閻魔前町 3-9-5,5bva@qjbaybw.co.jp,taniguchimitsuaki,kKmvv3AW,61303AEF-67EF-3422-C16D-B53754D0E137
1,2019/02/18,中１A,大高,颯大,オオダカ,ソウタ,男,2009/05/31,鹿島中学校,中学１年,大高,仁志,オオダカ,ヒトシ,077-286-9371,自宅,080-8975-5326,父,6220041,京都府 南丹市 園部町小山東町 2-20,0kzdvfozks@xejywmzacx.com,oodakahitosi,Dql9Zkul,BAEBD73A-7189-F8A7-2848-A102C55BB950
1,2016/05/03,高１A,平,麻里子,タイラ,マリコ,女,2002/07/02,唐津高校,高校１年,平,淳一,タイラ,ジュンイチ,077-033-5931,自宅,,,6038007,京都府 京都市北区 上賀茂毛穴井町 3-16-1 上賀茂毛穴井町ハイツ106,b00h90die6r7@fscjeacygi.jp,tairajunnichi,wspuhtmJ,0F3B21C5-F357-F632-5E32-7CAE5B885530
1,2015/05/16,小６G,横井,佳帆,ヨコイ,カホ,女,2017/08/15,唐津小学校,小学６年,横井,博道,ヨコイ,ヒロミチ,077-901-3390,自宅,,,6260025,京都府 宮津市 木ノ部 1-3-13,_dv5rbqcc6wythzm@xnxegopnv.org,yokoihiromichi,SFWpxNQA,151E8A2F-0759-EE3B-C8FA-5882D9654AE3
1,2021/02/09,未就,岩谷,花咲,イワタニ,ハナサ,女,2013/06/11,神埼保育園,年中,岩谷,長平,イワタニ,チョウヘイ,077-376-0483,自宅,090-2581-4411,母,6048413,京都府 京都市中京区 西ノ京勧学院町 1-5 西ノ京勧学院町コート418,9cs40gb@aszfwky.ac.jp,iwatanichouhei,uCaqN_Ov,90468A5A-30B2-DB47-DB2A-71A55FA1DEE5
