3,2020/03/16,未就,島袋,研治,シマブクロ,ケンジ,男,2017/10/26,金立幼稚園,1,島袋,哲朗,シマブクロ,テツロウ,0545-08-4807,自宅,090-4223-6412,父,4270232,静岡県 島田市 伊久美 2-8-5,def7utpxvjgzi3_x@tictx.org,numatatetsuro,dsKyNLyE,EB6AE70D-E9B1-01A7-811B-29783402E83F,2022-01-01
3,2020/11/27,未就,河村,伊吹,カワムラ,イブキ,女,2020/11/03,唐津保育園,2,河村,昌彦,カワムラ,マサヒコ,0547-36-2971,自宅,080-2215-7629,父,4240862,静岡県 静岡市清水区 船越東町 3-6-11,u06_x@rdtulsqxan.ac.jp,takitamasahiko,pdfLrHfX,250EAA98-8AF2-C57F-6813-55B72873CE56,2022-01-01
3,2016/08/02,小４G,大島,誠一郎,オオシマ,セイイチロウ,男,2020/09/24,伊万里小学校,7,大島,行雄,オオシマ,ユキオ,0538-89-3516,自宅,090-7657-0533,父,4170803,静岡県 富士市 桑崎 4-6,bvgzxm92k@mpwis.org,kaseyukio,iu5NxzEt,C06CF39E-72DC-A23B-4622-27302C0AC17B,2022-01-01
3,2021/12/21,小５V,福原,美鈴,フクハラ,ミスズ,女,2002/04/17,鳥栖小学校,8,福原,哲朗,フクハラ,テツロウ,053-530-9287,自宅,080-5854-6934,父,4228065,静岡県 静岡市駿河区 宮本町 1-11-20,nsey_bk51@vbddee.co.jp,nishimotohumiyasu,yjLsY5r-,96902E6A-DA6E-6259-4D48-6F434854CCE2,2022-01-01
3,2018/04/25,低学年,岩沢,末男,イワサワ,スエオ,男,2013/05/16,嬉野小学校,5,岩沢,雅人,イワサワ,マサト,055-234-7289,自宅,,,4228021,静岡県 静岡市駿河区 小鹿 3-3-10,plzhj@asgjsq.com,inomatamasato,3q6WyFtS,09D76455-961F-E13C-C2D0-C6C62D169967,2022-01-01
3,2015/01/28,中２A,筒井,佳乃,ツツイ,ヨシノ,女,2020/05/28,唐津中学校,11,筒井,哲朗,ツツイ,テツロウ,054-449-4961,自宅,090-2829-9814,父,4280502,静岡県 静岡市葵区 上坂本 2-10-3,5bva@qjbaybw.co.jp,taniguchimitsuaki,kKmvv3AW,BB08E90C-05E1-29F0-5DED-4D5357D6B1EF,2022-01-01
3,2019/02/18,中１A,小沢,基之,オザワ,モトユキ,男,2009/05/31,鹿島中学校,10,小沢,仁志,オザワ,ヒトシ,0539-34-1752,自宅,080-6047-0841,父,4360016,静岡県 掛川市 板沢 4-17,0kzdvfozks@xejywmzacx.com,oodakahitosi,Dql9Zkul,78FAA1FB-94DB-B181-CC19-6DD6CCDAFDEB,2022-01-01
3,2016/05/03,高１A,岩崎,尚紀,イワサキ,ナオキ,男,2002/07/02,唐津高校,13,岩崎,淳一,イワサキ,ジュンイチ,0538-01-7601,自宅,090-8538-5034,父,4170049,静岡県 富士市 緑町 3-19-13,b00h90die6r7@fscjeacygi.jp,tairajunnichi,wspuhtmJ,E4FA65AD-CD4E-3333-697E-9A5DDAD3B91D,2022-01-01
3,2015/05/16,小６G,関本,富男,セキモト,トミオ,男,2017/08/15,唐津小学校,9,関本,博道,セキモト,ヒロミチ,054-449-2909,自宅,090-6682-7169,父,4350032,静岡県 浜松市南区 古川町 1-9-3,_dv5rbqcc6wythzm@xnxegopnv.org,yokoihiromichi,SFWpxNQA,EC9DA30D-4AA0-8ADD-D50F-8CA713CA08AC,2022-01-01
3,2021/02/09,未就,工藤,桂子,クドウ,ケイコ,女,2013/06/11,神埼保育園,2,工藤,長平,クドウ,チョウヘイ,053-601-2230,自宅,080-8212-9269,父,4200912,静岡県 静岡市葵区 東瀬名町 4-15-13,9cs40gb@aszfwky.ac.jp,iwatanichouhei,uCaqN_Ov,2F42BA6C-035E-9491-5354-35B694591EED,2022-01-01
